header,updateType,seqNo,preamble,rank,carNumber,uniqueId,completedLaps,elapsedTime,lastLapTime,lapStatus,fastestLapTime,fastestLap,timeBehindLeader,lapsBehindLeader,timeBehindPrec,lapsBehindPrec,overallRank,overallBestLapTime,currentStatus,trackStatus,pitStopCount,lastPit,startPosition,lapsLed
$C,U,,R.I,1,10,,0,41.88030328,41.88030328,T,41.88030328,0,0,0,0,0,1,41.88030328,Active,G,0,0,1,1
$C,U,,R.I,2,9,,0,42.323415586471,42.110715586471,T,42.110715586471,0,0.44311230647100075,0,0.44311230647100075,0,2,42.110715586471,Active,G,0,0,2,0
$C,U,,R.I,3,8,,0,42.663525385873,42.324225385873,T,42.324225385873,0,0.7832221058730013,0,0.3401097994020006,0,3,42.324225385873,Active,G,0,0,3,0
$C,U,,R.I,4,7,,0,43.20172455713801,42.538324557138004,T,42.538324557138004,0,1.3214212771380076,0,0.5381991712650063,0,4,42.538324557138004,Active,G,0,0,4,0
$C,U,,R.I,5,6,,0,43.367661812615,42.752561812615,T,42.752561812615,0,1.4873585326149978,0,0.16593725547699023,0,5,42.752561812615,Active,G,0,0,5,0
$C,U,,R.I,6,5,,0,43.541261353865,43.001161353865,T,43.001161353865,0,1.6609580738650038,0,0.17359954125000598,0,6,43.001161353865,Active,G,0,0,6,0
$C,U,,R.I,7,4,,0,44.516787621737,43.210287621737,T,43.210287621737,0,2.6364843417370025,0,0.9755262678719987,0,7,43.210287621737,Active,G,0,0,7,0
$C,U,,R.I,8,3,,0,44.690737736106996,43.504837736107,T,43.504837736107,0,2.8104344561069965,0,0.17395011436999397,0,8,43.504837736107,Active,G,0,0,8,0
$C,U,,R.I,9,2,,0,44.925673659217,43.626373659216995,T,43.626373659216995,0,3.0453703792169975,0,0.234935923110001,0,9,43.626373659216995,Active,G,0,0,9,0
$C,U,,R.I,10,1,,0,45.537147800215,43.838847800215,T,43.838847800215,0,3.656844520215003,0,0.6114741409980056,0,10,43.838847800215,Active,G,0,0,10,0
$C,U,,R.I,1,10,,1,83.76060656,41.88030328,T,41.88030328,1,0,0,0,0,1,41.88030328,Active,G,0,0,1,2
$C,U,,R.I,2,9,,1,84.42527337043302,42.10185778396201,T,42.10185778396201,1,0.6646668104330189,0,0.6646668104330189,0,2,42.10185778396201,Active,G,0,0,2,0
$C,U,,R.I,3,8,,1,84.94878931527865,42.285263929405644,T,42.285263929405644,1,1.1881827552786461,0,0.5235159448456272,0,3,42.285263929405644,Active,G,0,0,3,0
$C,U,,R.I,4,7,,1,85.67256755926257,42.470843002124575,T,42.470843002124575,1,1.9119609992625755,0,0.7237782439839293,0,4,42.470843002124575,Active,G,0,0,4,0
$C,U,,R.I,5,6,,1,86.0195708001213,42.65190898750631,T,42.65190898750631,1,2.2589642401213013,0,0.3470032408587258,0,5,42.65190898750631,Active,G,0,0,5,0
$C,U,,R.I,6,5,,1,86.40931709854671,42.868055744681705,T,42.868055744681705,1,2.648710538546709,0,0.38974629842540764,0,6,42.868055744681705,Active,G,0,0,6,0
$C,U,,R.I,7,4,,1,87.56943330561694,43.052645683879945,T,43.052645683879945,1,3.8088267456169405,0,1.1601162070702316,0,7,43.052645683879945,Active,G,0,0,7,0
$C,U,,R.I,8,3,,1,87.88258301054825,43.19184527444124,T,43.19184527444124,1,4.121976450548246,0,0.31314970493130545,0,8,43.19184527444124,Active,G,0,0,8,0
$C,U,,R.I,9,2,,1,88.33054627314907,43.40487261393207,T,43.40487261393207,1,4.569939713149068,0,0.44796326260082253,0,9,43.40487261393207,Active,G,0,0,9,0
